timestamp,actual,random_forest,gradient_boosting
2018-10-14 00:00:00+00:00,55.84894047619047,55.60020169355517,55.94042535978714
2018-10-21 00:00:00+00:00,55.762125000000005,55.96815370568723,57.23056416715531
2018-10-28 00:00:00+00:00,58.68471428571428,56.3069730467951,57.539945636907426
2018-11-04 00:00:00+00:00,55.91758928571429,56.0138618150964,54.95705683981861
2018-11-11 00:00:00+00:00,58.16347023809524,56.58463083646025,57.74645983361858
2018-11-18 00:00:00+00:00,59.69608333333333,56.9986259191936,57.831105163535
2018-11-25 00:00:00+00:00,61.5533630952381,59.59862472747975,61.379443028781154
2018-12-02 00:00:00+00:00,62.379154761904765,60.34115632848467,60.72077949286572
2018-12-09 00:00:00+00:00,62.32269047619047,59.27016199315858,59.37070303814
2018-12-16 00:00:00+00:00,63.2435,60.24585783971384,60.896134612296315
2018-12-23 00:00:00+00:00,59.40855952380953,58.93292471492806,59.662320144342225
2018-12-30 00:00:00+00:00,49.07558333333333,54.26877696483364,53.39837968826723
2019-01-06 00:00:00+00:00,53.805875,56.422308993814596,55.17990724474928
2019-01-13 00:00:00+00:00,62.37220238095239,58.54929381168109,58.92847688767376
2019-01-20 00:00:00+00:00,62.42349404761905,60.69721845936623,61.38713014162729
2019-01-27 00:00:00+00:00,63.58701190476191,61.08570916937275,61.38713014162729
2019-02-03 00:00:00+00:00,62.08876785714286,60.97950256143044,61.27484754057595
2019-02-10 00:00:00+00:00,62.35953571428571,59.87465380639098,59.992761117154785
2019-02-17 00:00:00+00:00,60.79900595238095,58.9645610014188,59.2112727720149
2019-02-24 00:00:00+00:00,59.46751785714285,58.73028171340854,59.250334704347196
2019-03-03 00:00:00+00:00,58.48182142857143,58.466083137561384,59.2112727720149
2019-03-10 00:00:00+00:00,58.99095238095238,57.778007279236164,58.10043535164644
2019-03-17 00:00:00+00:00,60.07891071428571,57.77880844935565,59.250334704347196
2019-03-24 00:00:00+00:00,57.6493630952381,57.760174278558935,59.2112727720149
2019-03-31 00:00:00+00:00,56.7715119047619,55.30529806831806,55.65214805135392
2019-04-07 00:00:00+00:00,56.43385714285715,55.021350469397404,54.95169512564918
2019-04-14 00:00:00+00:00,56.76597023809524,55.1775179250921,55.65214805135392
2019-04-21 00:00:00+00:00,51.65626190476191,54.79030248056097,54.95169512564918
2019-04-28 00:00:00+00:00,52.33675,54.613122454328995,55.38498827024981
2019-05-05 00:00:00+00:00,53.123172619047615,53.97695491604249,54.21581887958649
2019-05-12 00:00:00+00:00,56.023577380952375,53.889798775849634,54.202326160656966
2019-05-19 00:00:00+00:00,55.28559523809523,54.59492185193939,55.65214805135392
2019-05-26 00:00:00+00:00,54.94535119047619,54.25702842826244,54.353631334376686
