timestamp,actual,sarima,lower_95,upper_95
2018-10-14 00:00:00+00:00,55.84894047619047,57.42442014892127,54.8002688760515,60.048571421791046
2018-10-21 00:00:00+00:00,55.762125000000005,57.912667836769224,55.07568167638543,60.74965399715302
2018-10-28 00:00:00+00:00,58.68471428571428,58.183816192408294,55.34374638993496,61.02388599488163
2018-11-04 00:00:00+00:00,55.91758928571429,56.90302932046632,54.05979903526486,59.746259605667774
2018-11-11 00:00:00+00:00,58.16347023809524,60.701343077629645,57.8548756749808,63.547810480278486
2018-11-18 00:00:00+00:00,59.69608333333333,61.36702784208335,58.517246907904166,64.21680877626254
2018-11-25 00:00:00+00:00,61.5533630952381,61.76200097224192,58.90883031979623,64.61517162468762
2018-12-02 00:00:00+00:00,62.379154761904765,62.574246461649956,59.71761013528204,65.43088278801788
2018-12-09 00:00:00+00:00,62.32269047619047,62.95479626938312,60.094618549755744,65.81497398901048
2018-12-16 00:00:00+00:00,63.2435,61.73346572228583,58.86967113633083,64.59726030824082
2018-12-23 00:00:00+00:00,59.40855952380953,55.759110988081076,52.89162429223491,58.626597683927244
2018-12-30 00:00:00+00:00,49.07558333333333,49.5726073494909,46.70135363310024,52.44386106588156
2019-01-06 00:00:00+00:00,53.805875,58.18698812123598,55.3288599310877,61.045116311384255
2019-01-13 00:00:00+00:00,62.37220238095239,61.845576494537084,59.07276619487752,64.61838679419665
2019-01-20 00:00:00+00:00,62.42349404761905,62.996632676451846,60.21955903776261,65.77370631514108
2019-01-27 00:00:00+00:00,63.58701190476191,62.15358306417171,59.37212487287759,64.93504125546583
2019-02-03 00:00:00+00:00,62.08876785714286,62.00187447970399,59.215911049157434,64.78783791025054
2019-02-10 00:00:00+00:00,62.35953571428571,61.908646002373835,59.11805718500766,64.69923481974001
2019-02-17 00:00:00+00:00,60.79900595238095,61.661544992325624,58.86621120149059,64.45687878316065
2019-02-24 00:00:00+00:00,59.46751785714285,61.455960328627725,58.65576254730096,64.25615810995448
2019-03-03 00:00:00+00:00,58.48182142857143,61.80482005838939,58.999639850524545,64.61000026625423
2019-03-10 00:00:00+00:00,58.99095238095238,60.233045798733784,57.42276532009687,63.043326277370696
2019-03-17 00:00:00+00:00,60.07891071428571,59.75420680997478,56.938708818705756,62.56970480124381
2019-03-24 00:00:00+00:00,57.6493630952381,58.80141262371815,55.98058049059025,61.62224475684605
2019-03-31 00:00:00+00:00,56.7715119047619,56.139914730455764,53.31363244865967,58.96619701225186
2019-04-07 00:00:00+00:00,56.43385714285715,55.881207259157165,53.049359453891505,58.713055064422825
2019-04-14 00:00:00+00:00,56.76597023809524,55.68485879707259,52.84733073468574,58.522386859459445
2019-04-21 00:00:00+00:00,51.65626190476191,55.40964006014883,52.56631765695385,58.25296246334381
2019-04-28 00:00:00+00:00,52.33675,56.08333354801317,53.23410337873515,58.932563717291195
2019-05-05 00:00:00+00:00,53.123172619047615,54.4683196154152,51.613068921368196,57.3235703094622
2019-05-12 00:00:00+00:00,56.023577380952375,54.59591434339597,51.73453104019188,57.457297646600054
2019-05-19 00:00:00+00:00,55.28559523809523,55.18913689799332,52.321509583014645,58.056764212972
