timestamp,actual,sarimax,lower_95,upper_95
2018-10-14 00:00:00+00:00,55.84894047619047,56.96259095003397,54.660323425447935,59.264858474620006
2018-10-21 00:00:00+00:00,55.762125000000005,57.87793879376517,55.451514140225925,60.30436344730441
2018-10-28 00:00:00+00:00,58.68471428571428,58.180323677679795,55.75365924909639,60.6069881062632
2018-11-04 00:00:00+00:00,55.91758928571429,55.95616959714974,53.5291944889388,58.38314470536068
2018-11-11 00:00:00+00:00,58.16347023809524,59.63657894199761,57.20921395600255,62.063943927992675
2018-11-18 00:00:00+00:00,59.69608333333333,61.48872303306888,59.06088069151455,63.91656537462321
2018-11-25 00:00:00+00:00,61.5533630952381,62.12398343388743,59.69556799484931,64.55239887292555
2018-12-02 00:00:00+00:00,62.379154761904765,62.723608241236334,60.29451571713794,65.15270076533473
2018-12-09 00:00:00+00:00,62.32269047619047,62.39562055822415,59.96573873790978,64.82550237853853
2018-12-16 00:00:00+00:00,63.2435,61.97596544036121,59.54517391787712,64.4067569628453
2018-12-23 00:00:00+00:00,59.40855952380953,56.21071615030804,53.7788863394982,58.642545961117875
2018-12-30 00:00:00+00:00,49.07558333333333,48.84296915333664,46.409964368808915,51.275973937864364
2019-01-06 00:00:00+00:00,53.805875,57.15682445386081,54.727273131133785,59.58637577658783
2019-01-13 00:00:00+00:00,62.37220238095239,61.145364839015976,58.7627377173894,63.52799196064255
2019-01-20 00:00:00+00:00,62.42349404761905,62.71910368526036,60.334881239304266,65.10332613121645
2019-01-27 00:00:00+00:00,63.58701190476191,63.24481257182688,60.85882984491727,65.63079529873649
2019-02-03 00:00:00+00:00,62.08876785714286,62.05307451043619,59.665158846346905,64.44099017452547
2019-02-10 00:00:00+00:00,62.35953571428571,61.12276010538232,58.73273120847793,63.51278900228671
2019-02-17 00:00:00+00:00,60.79900595238095,60.70232599318975,58.30999599410971,63.09465599226979
2019-02-24 00:00:00+00:00,59.46751785714285,61.01884491200534,58.62401844015846,63.413671383852225
2019-03-03 00:00:00+00:00,58.48182142857143,61.01331831656044,58.615792577901296,63.41084405521958
2019-03-10 00:00:00+00:00,58.99095238095238,59.42067852229877,57.02024338287582,61.821113661721725
2019-03-17 00:00:00+00:00,60.07891071428571,59.15534861340504,56.75178668873894,61.55891053807114
2019-03-24 00:00:00+00:00,57.6493630952381,58.73520914162176,56.32829589205704,61.142122391186476
2019-03-31 00:00:00+00:00,56.7715119047619,55.886441754395406,53.475945586261375,58.29693792252944
2019-04-07 00:00:00+00:00,56.43385714285715,56.264395803657926,53.85007817648557,58.678713430830285
2019-04-14 00:00:00+00:00,56.76597023809524,56.346657233868605,53.92827277351799,58.76504169421922
2019-04-21 00:00:00+00:00,51.65626190476191,55.35718006945519,52.934476687237265,57.779883451673115
2019-04-28 00:00:00+00:00,52.33675,55.16467203275235,52.73739105031783,57.59195301518687
2019-05-05 00:00:00+00:00,53.123172619047615,55.33650344310503,52.90437972325589,57.76862716295417
2019-05-12 00:00:00+00:00,56.023577380952375,55.07704568175715,52.63980776490553,57.51428359860877
2019-05-19 00:00:00+00:00,55.28559523809523,55.63510172116668,53.192471967430535,58.07773147490282
