loss,mae,val_loss,val_mae
0.019816048443317413,0.10199863463640213,0.005930373910814524,0.06122686341404915
0.0043756915256381035,0.05074208229780197,0.0043407310731709,0.05388009548187256
0.0031718742102384567,0.04293930158019066,0.00420551048591733,0.053525108844041824
0.002711010631173849,0.039937954396009445,0.0030469109769910574,0.04517272859811783
0.0022878230083733797,0.03675957769155502,0.0026709826197475195,0.04289454594254494
0.0020092863123863935,0.03445661440491676,0.0018164622597396374,0.03483384847640991
0.0017089564353227615,0.031720031052827835,0.0015171687118709087,0.03342566639184952
0.0015257037011906505,0.03003155067563057,0.001212611678056419,0.029065672308206558
0.001306164893321693,0.02772832289338112,0.0009958508890122175,0.026218624785542488
0.0011305963853374124,0.02569548599421978,0.0008838116191327572,0.02440601959824562
0.0010334710823372006,0.02462594211101532,0.0007497120532207191,0.02232964150607586
0.0009580226032994688,0.023600036278367043,0.000908789224922657,0.023675162345170975
0.000915276410523802,0.023016002029180527,0.0009898771531879902,0.02664460986852646
0.0008562972652725875,0.022198984399437904,0.0008561789873056114,0.023276347666978836
0.0008107019239105284,0.021667227149009705,0.0009249891736544669,0.024460146203637123
