model,MAE,RMSE,MASE,Bias
random_forest,2.112645141720889,2.7278714053080417,1.5320649796257697,0.8708088859677425
gradient_boosting,2.20205808750242,2.80663185451873,1.596906178108103,1.2435439205015844
