order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,converged,error,search_stage
"(3, 0, 0)","(1, 0, 1, 52)",3,0,0,1,0,1,52,4002.8862256372454,4020.621187982853,False,,non_seasonal_search
"(5, 1, 0)","(1, 0, 1, 52)",5,1,0,1,0,1,52,4088.3400748498575,4111.815866314903,False,,non_seasonal_search
"(0, 1, 5)","(1, 0, 1, 52)",0,1,5,1,0,1,52,4126.968682935983,4150.386712417241,False,,non_seasonal_search
"(4, 2, 5)","(1, 0, 1, 52)",4,2,5,1,0,1,52,4185.727304854896,4220.767075964834,False,,non_seasonal_search
"(6, 1, 5)","(1, 0, 1, 52)",6,1,5,1,0,1,52,4198.703542814762,4239.685094406963,False,,non_seasonal_search
"(2, 2, 6)","(1, 0, 1, 52)",2,2,6,1,0,1,52,4222.479635672869,4254.518839415966,True,,non_seasonal_search
"(3, 2, 0)","(1, 0, 1, 52)",3,2,0,1,0,1,52,4257.805823751269,4275.455678286925,False,,non_seasonal_search
"(3, 2, 5)","(1, 0, 1, 52)",3,2,5,1,0,1,52,4278.944859248657,4311.064649432767,False,,non_seasonal_search
"(4, 2, 1)","(1, 0, 1, 52)",4,2,1,1,0,1,52,4288.706638685717,4312.182430150762,False,,non_seasonal_search
"(1, 0, 5)","(1, 0, 1, 52)",1,0,5,1,0,1,52,4294.975360022291,4321.3856254204675,False,,non_seasonal_search
"(1, 2, 3)","(1, 0, 1, 52)",1,2,3,1,0,1,52,4303.89375834034,4324.435075872255,False,,non_seasonal_search
"(3, 2, 3)","(1, 0, 1, 52)",3,2,3,1,0,1,52,4312.908260572809,4339.318525970985,False,,non_seasonal_search
"(6, 2, 0)","(1, 0, 1, 52)",6,2,0,1,0,1,52,4319.163122308295,4345.442950640748,False,,non_seasonal_search
"(4, 2, 6)","(1, 0, 1, 52)",4,2,6,1,0,1,52,4351.212084216961,4389.07659773153,False,,non_seasonal_search
"(5, 2, 5)","(1, 0, 1, 52)",5,2,5,1,0,1,52,4360.416244680513,4398.375996716279,False,,non_seasonal_search
"(3, 1, 5)","(1, 0, 1, 52)",3,1,5,1,0,1,52,4369.169094567449,4401.368885104178,False,,non_seasonal_search
"(4, 1, 1)","(1, 0, 1, 52)",4,1,1,1,0,1,52,4383.201596642385,4406.73473602326,False,,non_seasonal_search
"(4, 2, 0)","(1, 0, 1, 52)",4,2,0,1,0,1,52,4384.806869638375,4405.34818717029,False,,non_seasonal_search
"(4, 2, 3)","(1, 0, 1, 52)",4,2,3,1,0,1,52,4406.488737063066,4435.833476394373,False,,non_seasonal_search
"(0, 1, 6)","(1, 0, 1, 52)",0,1,6,1,0,1,52,4442.276558702191,4468.556387034644,False,,non_seasonal_search
"(1, 2, 4)","(1, 0, 1, 52)",1,2,4,1,0,1,52,4455.306444484323,4478.724473965581,False,,non_seasonal_search
"(2, 2, 4)","(1, 0, 1, 52)",2,2,4,1,0,1,52,4461.466367599942,4487.811650766356,False,,non_seasonal_search
"(5, 2, 1)","(1, 0, 1, 52)",5,2,1,1,0,1,52,4461.541325818026,4487.8866089844405,False,,non_seasonal_search
"(5, 2, 0)","(1, 0, 1, 52)",5,2,0,1,0,1,52,4464.810271724211,4488.228301205469,False,,non_seasonal_search
"(5, 2, 2)","(1, 0, 1, 52)",5,2,2,1,0,1,52,4465.541100518632,4494.813637370205,False,,non_seasonal_search
