variable,training_mean,training_standard_deviation
temp_mean,10.826616509547984,7.4615474490626905
temp_min,3.4908629441624357,6.527548979525122
temp_max,18.828934010152285,9.193571699430091
heating_degree_days,54.876967005076146,45.87774071373589
cooling_degree_days,4.875719120135364,9.98181954450206
